"","status_id","hashtags"
"1","1193159460077748224","fuzzystatus"
"2","1193159460077748224","igersitalia"
"3","1193159460077748224","massimovolontefotografo"
"4","1193159460077748224","iphone8"
"5","1193159460077748224","photography"
"6","1193159460077748224","graffiti"
"7","1193159460077748224","loneliness"
"8","1193159460077748224","monochrome"
"9","1190417991407734784","fuzzystatus"
"10","1190417991407734784","igersitalia"
"11","1190417991407734784","massimovolontefotografo"
"12","1190417991407734784","iphone8"
"13","1190417991407734784","photography"
"14","1190417991407734784","graffiti"
"15","1190417991407734784","loneliness"
"16","1192428501716160512","fuzzystatus"
"17","1192428501716160512","igersitalia"
"18","1192428501716160512","massimovolontefotografo"
"19","1192428501716160512","iphone8"
"20","1192428501716160512","photography"
"21","1192428501716160512","graffiti"
"22","1192428501716160512","loneliness"
"23","1192428501716160512","monochrome"
"24","1190939177208041472","pbloggers"
"25","1190939177208041472","loneliness"
"26","1192041442258149377","pbloggers"
"27","1192041442258149377","loneliness"
"28","1191309115395579904","pbloggers"
"29","1191309115395579904","loneliness"
"30","1190561687465857029","pbloggers"
"31","1190561687465857029","loneliness"
"32","1192788865414815745","pbloggers"
"33","1192788865414815745","loneliness"
"34","1191679050772893699","pbloggers"
"35","1191679050772893699","loneliness"
"36","1193158809910435841","pbloggers"
"37","1193158809910435841","loneliness"
"38","1192418927034408966","pbloggers"
"39","1192418927034408966","loneliness"
"40","1190184201791975424","pbloggers"
"41","1190184201791975424","loneliness"
"42","1193158100259409925","betterlyf"
"43","1193158100259409925","mentalhealth"
"44","1193158100259409925","loneliness"
"45","1193154784330735616","PSIConf19"
"46","1193154784330735616","loneliness"
"47","1192756402936254467","nans4grans"
"48","1192756402936254467","olderpeople"
"49","1192756402936254467","ageing"
"50","1192756402936254467","seniors"
"51","1192756402936254467","Harpenden"
"52","1192756402936254467","StAlbans"
"53","1192756402936254467","Watford"
"54","1192756402936254467","Health"
"55","1192756402936254467","Homecare"
"56","1192756402936254467","loneliness"
"57","1192109141109747713","nans4grans"
"58","1192109141109747713","olderpeople"
"59","1192109141109747713","ageing"
"60","1192109141109747713","seniors"
"61","1192109141109747713","Harpenden"
"62","1192109141109747713","StAlbans"
"63","1192109141109747713","Watford"
"64","1192109141109747713","Health"
"65","1192109141109747713","Homecare"
"66","1192109141109747713","loneliness"
"67","1191002595868983298","olderpeople"
"68","1191002595868983298","ageing"
"69","1191002595868983298","seniors"
"70","1191002595868983298","Harpenden"
"71","1191002595868983298","StAlbans"
"72","1191002595868983298","Watford"
"73","1191002595868983298","Health"
"74","1191002595868983298","Homecare"
"75","1191002595868983298","loneliness"
"76","1190638194330652672","nans4grans"
"77","1190638194330652672","olderpeople"
"78","1190638194330652672","ageing"
"79","1190638194330652672","seniors"
"80","1190638194330652672","Harpenden"
"81","1190638194330652672","StAlbans"
